iter	Passed	Remaining
1459	40339	14920
1460	40369	14893
1461	40400	14866
1462	40428	14839
1463	40455	14811
1464	40486	14785
1465	40514	14757
1466	40542	14730
1467	40570	14702
1468	40599	14675
1469	40628	14648
1470	40654	14619
1471	40682	14592
1472	40709	14564
1473	40737	14537
1474	40767	14510
1475	40793	14482
1476	40820	14454
1477	40849	14427
1478	40876	14399
1479	40904	14371
1480	40933	14344
1481	40962	14317
1482	40991	14290
1483	41018	14262
1484	41048	14235
1485	41077	14208
1486	41103	14180
1487	41141	14156
1488	41195	14137
1489	41223	14109
1490	41254	14083
1491	41284	14056
1492	41315	14030
1493	41344	14002
1494	41376	13976
1495	41415	13952
1496	41446	13926
1497	41479	13900
1498	41510	13873
1499	41538	13846
1500	41566	13818
1501	41595	13791
1502	41620	13762
1503	41648	13735
1504	41677	13707
1505	41705	13680
1506	41734	13652
1507	41761	13624
1508	41786	13596
1509	41816	13569
1510	41846	13542
1511	41874	13515
1512	41901	13486
1513	41928	13459
1514	41957	13431
1515	41984	13404
1516	42016	13377
1517	42047	13351
1518	42080	13324
1519	42108	13297
1520	42136	13269
1521	42166	13242
1522	42197	13216
1523	42227	13189
1524	42263	13164
1525	42314	13143
1526	42352	13119
1527	42382	13092
1528	42416	13066
1529	42447	13039
1530	42476	13011
1531	42502	12983
1532	42529	12955
1533	42559	12928
1534	42586	12900
1535	42611	12872
1536	42639	12844
1537	42666	12816
1538	42691	12788
1539	42719	12760
1540	42743	12731
1541	42769	12703
1542	42794	12674
1543	42820	12646
1544	42845	12617
1545	42873	12590
1546	42901	12562
1547	42928	12534
1548	42955	12506
1549	42980	12478
1550	43010	12451
1551	43037	12423
1552	43062	12394
1553	43093	12367
1554	43121	12340
1555	43147	12312
1556	43174	12284
1557	43200	12255
1558	43226	12227
1559	43253	12199
1560	43280	12171
1561	43307	12143
1562	43335	12116
1563	43365	12089
1564	43392	12061
1565	43421	12033
1566	43449	12006
1567	43476	11978
1568	43505	11950
1569	43534	11923
1570	43560	11895
1571	43588	11867
1572	43616	11840
1573	43645	11812
1574	43674	11785
1575	43703	11757
1576	43732	11730
1577	43759	11702
1578	43787	11674
1579	43815	11647
1580	43840	11618
1581	43870	11591
1582	43897	11563
1583	43925	11536
1584	43954	11508
1585	43982	11480
1586	44009	11452
1587	44038	11425
1588	44063	11397
1589	44088	11368
1590	44116	11340
1591	44140	11312
1592	44168	11284
1593	44196	11257
1594	44222	11229
1595	44249	11200
1596	44275	11172
1597	44303	11145
1598	44331	11117
1599	44356	11089
1600	44385	11061
1601	44411	11033
1602	44437	11005
1603	44466	10978
1604	44492	10949
1605	44520	10922
1606	44548	10894
1607	44573	10866
1608	44602	10838
1609	44631	10811
1610	44656	10782
1611	44684	10755
1612	44710	10727
1613	44737	10699
1614	44763	10671
1615	44790	10643
1616	44817	10615
1617	44845	10587
1618	44872	10559
1619	44898	10531
1620	44924	10503
1621	44952	10475
1622	44978	10447
1623	45003	10419
1624	45030	10391
1625	45057	10363
1626	45085	10336
1627	45111	10308
1628	45138	10280
1629	45165	10252
1630	45192	10224
1631	45220	10196
1632	45249	10169
1633	45277	10141
1634	45304	10113
1635	45334	10086
1636	45363	10059
1637	45387	10030
1638	45415	10003
1639	45441	9975
1640	45468	9947
1641	45497	9919
1642	45527	9892
1643	45555	9864
1644	45580	9836
1645	45606	9808
1646	45634	9780
1647	45661	9753
1648	45685	9724
1649	45713	9696
1650	45739	9668
1651	45764	9640
1652	45791	9612
1653	45818	9584
1654	45845	9556
1655	45871	9528
1656	45898	9500
1657	45925	9473
1658	45950	9444
1659	45976	9416
1660	46002	9388
1661	46030	9361
1662	46057	9333
1663	46083	9305
